page,date,text,person,type
5,2023-02-14,Har ingen registreringspliktige interesser,"Abusland, Anja Ninasdotter (Sp, Vest-Agder)",None
5,2023-02-14,"§2    Styreverv mv.              - Styremedlem, Regnbuedagene i Bergen AS, ikke lønnet","Almeland, Grunde (V, Oslo)",§2
5,2023-02-14,"§10   Utenlandsreiser            - 14.-22. juli 2018, Tanzania, European Parliamentary Forum on","Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,                                 Population and Development (på vegne av Stortingets SRHR-,"Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,                                 nettverk),"Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,"                                 - 16.-19. mai 2019, Colombia, Caribe Afirmativo (oppdrag formidlet","Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,                                 via den norske ambassaden i Bogotá),"Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,"                                 - 30. juni - 3. juli 2022, Romania, Sex og Politikk (på vegne av","Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,                                 Stortingets SRHR-nettverk),"Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,"                                 - 29. oktober - 6. november 2022, Colombia, Amnesty International","Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,                                 Norge,"Almeland, Grunde (V, Oslo)",§10
5,2023-02-14,Har ingen registreringspliktige interesser,"Amundsen, Per-Willy (FrP, Troms)",None
5,2023-02-14,"§2    Styreverv mv.              Senterpartiet, parlamentarisk leder, (godtgjørelse).","Arnstad, Marit (Sp, Nord-Trøndelag)",§2
5,2023-02-14,"§9    Aksjer m.v.                Aksjer i Gjensidige Forsikring ASA, (mindre enn 1 %)","Arnstad, Marit (Sp, Nord-Trøndelag)",§9
5,2023-02-14,                                 Aksje i AS Nord-Trøndelag (mindre enn 1 %),"Arnstad, Marit (Sp, Nord-Trøndelag)",§9
5,2023-02-14,                                 Aksjer i Klassekampen AS (mindre enn 1 %),"Arnstad, Marit (Sp, Nord-Trøndelag)",§9
5,2023-02-14,"§2    Styreverv mv.              Styremedlem i Sex og Samfunn 2012-2014, vervet er godtgjort, men","Asheim, Henrik (H, Akershus)",§2
5,2023-02-14,                                 har frasagt meg godtgjørelsen,"Asheim, Henrik (H, Akershus)",§2
5,2023-02-14,"                                 1.vara i styret i Bærum Montesorriskole, ulønnet","Asheim, Henrik (H, Akershus)",§2
5,2023-02-14,Har ingen registreringspliktige interesser,"Asphjell, Jorodd (A, Sør-Trøndelag)",None
5,2023-02-14,"§2    Styreverv mv.              Styreleder, Pactum Beta AS (ikke godtgjørelse)","Astrup, Nikolai (H, Oslo)",§2
5,2023-02-14,"                                 Styreleder, Pactum Epsilon AS (ikke godtgjørelse)","Astrup, Nikolai (H, Oslo)",§2
6,2023-02-14,"                   Styreleder, Storehorn AS (ikke godtgjørelse)","Astrup, Nikolai (H, Oslo)",§2
6,2023-02-14,"                   Styremedlem, Pactum AS (godtgjørelse)","Astrup, Nikolai (H, Oslo)",§2
6,2023-02-14,§9   Aksjer m.v.   Pactum Epsilon AS (100%).,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Selskapet investerer i aksjer og andre verdipapirer. Porteføljen,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   oppgis i henhold til § 9 her (per 30.09.2022):,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Nordic Semiconductor ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Otovo ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Pactum Beta AS (100%).,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,"                   Pactum Beta AS er et holdingselskap som eier 25,49 % av aksjene i","Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   familievirksomheten Pactum AS. I tillegg eier selskapet aksjer i,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   følgende selskap (per 30.09.2022):,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Eden Research PLC,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Pactum AS er morselskap i en konsernstruktur med de heleide,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,"                   datterselskapene Pactum Eiendom AS, Pactum Vekst AS og","Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,"                   Seabulk AS. Konsernet investerer i aksjer og andre verdipapirer,","Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   shipping og næringseiendom. Porteføljen oppgis i henhold til § 9 her,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   (per 30.09.2022):,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Aksjer:,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Aker BP ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Akva Group ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Alimak Group AB,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Arctic Fish Holding AS,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Assa Abloy AB,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Austevoll Seafood ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Avance Gas Holding Ltd,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Bonheur ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Coor Service Management Holding AB,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Cytovation ASA,"Astrup, Nikolai (H, Oslo)",§9
6,2023-02-14,                   Driva Aquaculture AS,"Astrup, Nikolai (H, Oslo)",§9
